claims,max_claim_size,run_idx,timestamp_ms,gates_base_circuit_jwt,degree_bits_base_circuit_jwt,gates_delegation_circuit,degree_bits_delegation_circuit,gates_wrapper_circuit,degree_bits_wrapper_circuit,gates_presentation_circuit,degree_bits_presentation_circuit,build_base_circuit_jwt_s,build_delegation_circuit_s,build_wrapper_circuit_s,build_presentation_circuit_s,prove_base_proof_jwt_s,prove_wrapper_proof_s,prove_delegation_base_step_s,prove_delegation_recursive_step_s,prove_presentation_proof_s,prove_pres_precompute_witness_s,prove_pres_proof_cached_witness_s,verify_delegation_proof_s,verify_presentation_proof_s,size_base_proof_bytes,size_wrapper_proof_bytes,size_delegation_proof_bytes,size_presentation_proof_bytes
32,32,0,1787082038696,554458,20,14811,14,14377,14,7052,13,34.023524,2.620744,0.364018,0.181834,41.030324,1.175364,1.181637,1.167786,0.517764,0.139704,0.373725,0.002691,0.003298,195472,150276,150276,186664
32,32,1,1787082128043,554458,20,14811,14,14377,14,7052,13,33.981971,2.680796,0.367088,0.189539,40.520956,1.247308,1.168408,1.182944,0.523642,0.138582,0.364651,0.002698,0.003297,195472,150276,150276,186664
32,32,2,1787082214134,554458,20,14811,14,14377,14,7052,13,34.224409,2.619931,0.361483,0.183777,37.428141,1.194063,1.196670,1.178522,0.516788,0.138812,0.370341,0.002697,0.003293,195472,150276,150276,186664
32,32,3,1787082299952,554458,20,14811,14,14377,14,7052,13,34.182017,2.618209,0.362033,0.182715,37.453433,1.197862,1.173921,1.185253,0.516607,0.138545,0.382567,0.002701,0.003292,195472,150276,150276,186664
32,32,4,1787082385732,554458,20,14811,14,14377,14,7052,13,34.269012,2.644345,0.367010,0.183900,37.282957,1.177031,1.194229,1.174191,0.522406,0.139078,0.371346,0.002696,0.003299,195472,150276,150276,186664
32,32,5,1787082471613,554458,20,14811,14,14377,14,7052,13,34.302330,2.624213,0.369730,0.182841,37.300041,1.168727,1.213123,1.182024,0.516514,0.140391,0.380473,0.002694,0.003295,195472,150276,150276,186664
32,32,6,1787082557304,554458,20,14811,14,14377,14,7052,13,34.103255,2.633575,0.363605,0.183423,37.376246,1.165408,1.174422,1.166272,0.519543,0.139099,0.377196,0.002692,0.003290,195472,150276,150276,186664
32,32,7,1787082643546,554458,20,14811,14,14377,14,7052,13,34.069698,2.619160,0.364142,0.182229,37.922750,1.211191,1.175130,1.158815,0.508296,0.138465,0.362877,0.002699,0.003295,195472,150276,150276,186664
32,32,8,1787082729359,554458,20,14811,14,14377,14,7052,13,34.308773,2.618831,0.365301,0.181559,37.211490,1.225653,1.169964,1.174723,0.519150,0.139359,0.365248,0.002697,0.003292,195472,150276,150276,186664
32,32,9,1787082817195,554458,20,14811,14,14377,14,7052,13,34.118847,2.621741,0.362401,0.186758,39.533062,1.186026,1.197093,1.168922,0.514759,0.138811,0.381862,0.002697,0.003295,195472,150276,150276,186664
